latitude,longitude,rsrp [dBm],rsrq,rssnr,cqi,weight,Unnamed: 7
-3.1447485,-58.4365796,-103,-14,-1,9,,
-3.144742,-58.436585,-103,-14,-1,9,,
-3.1447378,-58.4365889,-96,-12,0,6,,
-3.1447311,-58.4365957,-96,-12,0,6,,
-3.1447293,-58.4365995,-96,-12,0,6,,
-3.1447286,-58.4366066,-96,-12,0,6,,
-3.144729,-58.4366094,-96,-12,0,6,,
-3.1447265,-58.4366147,-105,-14,0,9,,
-3.1447266,-58.4366165,-105,-14,0,9,,
-3.1447267,-58.436618,-105,-14,0,9,,
-3.1447268,-58.4366188,-105,-14,0,9,,
-3.1447268,-58.4366189,-99,-13,-1,8,,
-3.1447268,-58.436619,-99,-13,-1,8,,
-3.1447268,-58.4366191,-99,-13,-1,8,,
-3.1447268,-58.4366191,-99,-13,-1,8,,
-3.1447268,-58.4366191,-99,-13,-1,8,,
-3.1447268,-58.4366191,-100,-15,0,6,,
-3.1447268,-58.4366191,-100,-15,0,6,,
-3.1447268,-58.4366191,-100,-15,0,6,,
-3.1447268,-58.4366191,-100,-15,0,6,,
-3.1447268,-58.4366191,-97,-10,0,8,,
-3.1447268,-58.4366191,-97,-10,0,8,,
-3.1447268,-58.4366191,-97,-10,0,8,,
-3.1447268,-58.4366191,-97,-10,0,8,,
-3.1447268,-58.4366191,-100,-12,0,6,,
-3.1447268,-58.4366191,-100,-12,0,6,,
-3.1447268,-58.4366191,-100,-12,0,6,,
-3.1447268,-58.4366191,-100,-12,0,6,,
-3.1447268,-58.4366191,-100,-12,0,6,,
-3.1447268,-58.4366191,-100,-12,0,6,,
-3.1447268,-58.4366191,-100,-12,0,6,,
-3.1447268,-58.4366191,-100,-12,0,6,,
-3.1447268,-58.4366191,-100,-12,0,6,,
-3.1447268,-58.4366191,-95,-12,0,6,,
-3.1447268,-58.4366191,-95,-12,0,6,,
-3.1447268,-58.4366191,-95,-12,0,6,,
-3.1447268,-58.4366191,-95,-12,0,6,,
-3.1447268,-58.4366191,-95,-12,0,6,,
-3.1447268,-58.4366191,-95,-12,0,6,,
-3.1447268,-58.4366191,-95,-12,0,6,,
-3.1447268,-58.4366191,-95,-12,0,6,,
-3.1447268,-58.4366191,-95,-12,0,6,,
-3.1447268,-58.4366191,-104,-15,-1,6,,
-3.1447268,-58.4366191,-104,-15,-1,6,,
-3.1447268,-58.4366191,-104,-15,-1,6,,
-3.1447268,-58.4366191,-104,-15,-1,6,,
-3.1447268,-58.4366191,-104,-15,-1,6,,
-3.1447268,-58.4366191,-104,-15,-1,6,,
-3.1447268,-58.4366191,-104,-15,-1,6,,
-3.1447268,-58.4366191,-104,-15,-1,6,,
