"deviceId","date","time","locationStatus","latitude","longitude","mobileStatus","netType","roaming","downstreamBandwidth","upstreamBandwidth","rx","tx","asuLevel","cqi","dbm","level","rsrp [dBm]","rsrq","rssi [dBm]","rssnr","earfcn","band","frequency [MHz]","ci","pci","tag","downlink","uplink","networkOperator","chipOperator","mcc","mnc","bluetoothStatus"
"3d4c6129617d84c4","20/03/2023","18:05:31","1","0.0","0.0","1","4G","-1","30000","15000","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","4"
"3d4c6129617d84c4","20/03/2023","18:05:32","1","0.0","0.0","1","4G","-1","30000","15000","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","4"
"3d4c6129617d84c4","20/03/2023","18:05:33","1","0.0","0.0","1","4G","-1","30000","15000","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","4"
"3d4c6129617d84c4","20/03/2023","18:05:34","1","0.0","0.0","1","4G","-1","30000","15000","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","4"
"3d4c6129617d84c4","20/03/2023","18:05:35","1","0.0","0.0","1","4G","-1","30000","15000","72","72","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","4"
"3d4c6129617d84c4","20/03/2023","18:05:36","1","0.0","0.0","1","4G","-1","30000","15000","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","4"
"3d4c6129617d84c4","20/03/2023","18:05:37","1","0.0","0.0","1","4G","-1","30000","15000","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","4"
"3d4c6129617d84c4","20/03/2023","18:05:38","1","0.0","0.0","1","4G","-1","30000","15000","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","4"
"3d4c6129617d84c4","20/03/2023","18:05:39","1","0.0","0.0","1","4G","-1","30000","15000","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","4"
"3d4c6129617d84c4","20/03/2023","18:05:40","1","0.0","0.0","1","4G","-1","30000","15000","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","4"
