"device_id","date","time","screen_status","bright_level","bright_mode","screen_on_time","bluetooth","gps","saving_mode","nfc","flashlight","airplane_mode","fingerprint","orientation","battery_level","battery_health","battery_charging_status","battery_connection_status","battery_temperature","battery_current","battery_voltage","battery_potency","battery_capacity","network_mode","mobile_mode","mobile_status","mobile_roaming","mobile_rx","mobile_tx","wifi_status","wifi_intensity","wifi_speed","wifi_ap","wifi_rx","wifi_tx","wifi_connection","network_operator","sim_operator","mcc","mnc","ring_mode","sound_level","playback_status","ram_capacity","ram_usage","ram_free","rom_capacity","rom_usage","rom_free","core_numbers","cpu_temperature","up_time","sleep_time","frequency_core0","frequency_core1","frequency_core2","frequency_core3","frequency_core4","frequency_core5","frequency_core6","frequency_core7"
"70a09b5174d07fff","16/11/2021","20:02:44","enabled","119","automatic","32","connected","enabled","disabled","disabled","false","disabled","available","portrait","97","good","discharging","unplugged","26.9","-0.428772","4.296","-1.842004512","6174.0","enabled","disabled","disabled","disabled","367160439","7802485","enabled","-51","433",,"433","433","192.168.0.16","","","null","null","silent","15","disabled","5643.0","2150.0","3493.0","110,549MB","10,432MB","100,116MB","8","37.0","8412","7541","1497.6","1497.6","1497.6","1497.6","1497.6","1497.6","1094.4","1094.4"
"70a09b5174d07fff","16/11/2021","20:02:46","enabled","119","automatic","33","connected","enabled","disabled","disabled","false","disabled","available","portrait","97","good","discharging","unplugged","26.9","-0.443725","4.296","-1.9062426","6174.0","enabled","disabled","disabled","disabled","367160439","7802485","enabled","-50","433",,"433","433","192.168.0.16","","","null","null","silent","15","disabled","5643.0","2152.0","3491.0","110,549MB","10,432MB","100,116MB","8","37.0","8414","7541","1497.6","1497.6","1497.6","1497.6","1497.6","1497.6","1094.4","1094.4"
"70a09b5174d07fff","16/11/2021","20:02:48","enabled","119","automatic","34","connected","enabled","disabled","disabled","false","disabled","available","portrait","97","good","discharging","unplugged","26.9","-0.317993","4.296","-1.366097928","6174.0","enabled","disabled","disabled","disabled","367160561","7802485","enabled","-50","433",,"433","433","192.168.0.16","","","null","null","silent","15","disabled","5643.0","2154.0","3489.0","110,549MB","10,432MB","100,116MB","8","37.0","8416","7541","1804.8","1804.8","1804.8","1804.8","1804.8","1804.8","1094.4","1094.4"
"70a09b5174d07fff","16/11/2021","20:02:49","enabled","119","automatic","35","connected","enabled","disabled","disabled","false","disabled","available","portrait","97","good","discharging","unplugged","26.9","-0.671692","4.296","-2.885588832","6174.0","enabled","disabled","disabled","disabled","367160561","7802485","enabled","-54","433",,"433","433","192.168.0.16","","","null","null","silent","15","disabled","5643.0","2143.0","3500.0","110,549MB","10,432MB","100,116MB","8","37.0","8417","7541","1804.8","1804.8","1804.8","1804.8","1804.8","1804.8","2169.6","2169.6"
"70a09b5174d07fff","16/11/2021","20:02:50","enabled","119","automatic","36","connected","enabled","disabled","disabled","false","disabled","available","portrait","97","good","discharging","unplugged","26.9","-0.501709","4.296","-2.155341864","6174.0","enabled","disabled","disabled","disabled","367160561","7802485","enabled","-54","433",,"433","433","192.168.0.16","","","null","null","silent","15","disabled","5643.0","2132.0","3511.0","110,549MB","10,432MB","100,116MB","8","37.0","8418","7541","1497.6","1497.6","1497.6","1497.6","1497.6","1497.6","1843.2","1843.2"
"70a09b5174d07fff","16/11/2021","20:14:38","enabled","124","automatic","1","disabled","enabled","disabled","disabled","false","disabled","available","portrait","0","cold","unknown","unplugged","0.0","-0.895996","0.0","-0.0","6174.0","enabled","disabled","disabled","disabled","534395639","9683726","enabled","-59","292",,"433","292","192.168.0.16","","","null","null","silent","1","disabled","5643.0","2251.0","3392.0","110,549MB","10,435MB","100,113MB","8","37.0","9126","7643","1497.6","1497.6","1497.6","1497.6","1497.6","1497.6","2304.0","2304.0"
"70a09b5174d07fff","16/11/2021","20:14:39","enabled","124","automatic","2","disabled","enabled","disabled","disabled","false","disabled","available","portrait","0","cold","unknown","unplugged","0.0","-0.90332","0.0","-0.0","6174.0","enabled","disabled","disabled","disabled","534395639","9683726","enabled","-59","292",,"433","292","192.168.0.16","","","null","null","silent","1","disabled","5643.0","2274.0","3369.0","110,549MB","10,435MB","100,113MB","8","37.0","9127","7643","1497.6","1497.6","1497.6","1497.6","1497.6","1497.6","2208.0","2208.0"
"70a09b5174d07fff","16/11/2021","20:14:40","enabled","124","automatic","3","disabled","enabled","disabled","disabled","false","disabled","available","portrait","96","good","discharging","unplugged","28.7","-0.390014","4.295","-1.67511013","6174.0","enabled","disabled","disabled","disabled","534395863","9683798","enabled","-59","292",,"433","292","192.168.0.16","","","null","null","silent","1","disabled","5643.0","2274.0","3369.0","110,549MB","10,435MB","100,113MB","8","37.0","9129","7643","1497.6","1497.6","1497.6","1497.6","1497.6","1497.6","652.8","652.8"
"70a09b5174d07fff","16/11/2021","20:14:43","enabled","124","automatic","4","disabled","enabled","disabled","disabled","false","disabled","available","portrait","96","good","discharging","unplugged","28.7","-0.346069","4.295","-1.486366355","6174.0","enabled","disabled","disabled","disabled","534395863","9683798","enabled","-60","292",,"433","292","192.168.0.16","","","null","null","silent","1","disabled","5643.0","2261.0","3382.0","110,549MB","10,435MB","100,113MB","8","37.0","9131","7643","1804.8","1804.8","1804.8","1804.8","1804.8","1804.8","2304.0","2304.0"
"70a09b5174d07fff","16/11/2021","20:14:45","enabled","124","automatic","5","disabled","enabled","disabled","disabled","false","disabled","available","portrait","96","good","discharging","unplugged","28.7","-0.86792","4.295","-3.7277164","6174.0","enabled","disabled","disabled","disabled","534395863","9683798","enabled","-60","292",,"433","292","192.168.0.16","","","null","null","silent","1","disabled","5643.0","2396.0","3247.0","110,549MB","10,435MB","100,113MB","8","37.0","9133","7643","1804.8","1804.8","1804.8","1804.8","1804.8","1804.8","2304.0","2304.0"
